EFECTOR;ANIO;ESPECIALIDAD;SERVICIO;TOTAL
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Clínica Médica ;Medicina;1910
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Atención Inmediata;Medicina;2260
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Atención Inmediata ;Medicina;2623
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cardiología;Medicina;12450
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cardiología ;Medicina;3545
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Dermatología;Medicina;20819
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Dermatología ;Medicina;6232
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Gastroenterología;Medicina;5331
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Gastroenterología ;Medicina;843
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Hematología;Medicina;9905
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Hematología ;Medicina;2900
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Infectología;Medicina;104612
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Infectología ;Medicina;28259
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Hepatología;Medicina;5075
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Endocrinología;Medicina;10707
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Endocrinología ;Medicina;2202
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Nefrología;Medicina;1069
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Nefrología ;Medicina;1169
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Reumatología;Medicina;2830
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Reumatología ;Medicina;879
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Neurología;Medicina;5533
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Neurología ;Medicina;1366
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Adolescencia;Medicina;9027
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Adolescencia ;Medicina;2544
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Neumotisiología;Medicina;6221
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Neumotisiología ;Medicina;1022
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Oncología;Medicina;9018
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Alergia;Medicina;4851
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cesación Tabáquica;Medicina;814
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cesación Tabáquica ;Medicina;833
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Geriatría ;Medicina;2786
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Subtotal Medicina;Medicina;281426
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cirugía General;Cirugia;7552
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cirugía General ;Cirugia;679
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cirugía Plástica;Cirugia;11599
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Ginecología;Cirugia;15369
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Ginecología ;Cirugia;5644
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Urología;Cirugia;3470
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Ortopedia Y Traumatología;Cirugia;9563
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Ortopedia Y Traumatología ;Cirugia;6374
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Columna Vertebral;Cirugia;1960
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Oftalmología;Cirugia;8638
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Oftalmología ;Cirugia;925
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Otorrinolaringología;Ulterior Total;8816
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Otorrinolaringología ;Ulterior Total;2616
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Neurocirugía;Ulterior Total;1572
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Vascular Periférico;Ulterior Total;983
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cicatrización Y Cuidado Heridas Crónicas ;Ulterior Total;2546
HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;2011;Cirugía Cardiovascular;Ulterior Total;1460
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Endocrinología ;Medicina;3987
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Diabetes Y Nutrición ;Medicina;3597
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cardiología;Medicina;20305
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cardiología ;Medicina;5978
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Alergia E Inmunología ;Medicina;2164
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Dermatología;Medicina;4964
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Dermatología ;Medicina;2081
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Gastroenterología;Medicina;5109
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Gastroenterología ;Medicina;1619
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Nefrología;Medicina;2608
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Neurología;Medicina;5247
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Tisiología;Medicina;6439
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Oncología;Medicina;13333
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Infectología ;Medicina;61939
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Infectología ;Medicina;20852
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Medicina;Medicina;211180
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cirugía General;Cirugia;2397
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cirugía Videoasistida;Cirugia;839
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Ginecología;Cirugia;10534
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Ginecología ;Cirugia;5646
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cirugía Plástica;Cirugia;4262
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Patología Mamaria ;Cirugia;5063
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Urología;Cirugia;3740
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Urología ;Cirugia;1210
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Ortopedia Y Traumatología;Cirugia;61783
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Ortopedia Y Traumatología ;Cirugia;11714
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Oftalmología;Cirugia;6108
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Oftalmología ;Cirugia;1571
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Otorrinolaringología;Cirugia;6781
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Otorrinolaringología ;Cirugia;1621
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Neurocirugía;Cirugia;2952
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Vascular Periférico;Cirugia;6288
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Cirugia;Cirugia;132509
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Pediatría;Pediatria;37144
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Pediatría ;Pediatria;22081
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Neonatología;Pediatria;24250
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Neonatología ;Pediatria;822
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Pediatria;Pediatria;84297
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Obstetricia;Tocoginecologia;32032
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Obstetricia ;Tocoginecologia;14274
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Tocoginecologia;Tocoginecologia;46306
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Guardia Del Día;Urgencia;114312
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Toxicología;Urgencia;104933
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Urgencia;Urgencia;219245
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Promoción Y Protección;Promocion Y Proteccion;173072
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Promocion Y Proteccion;Promocion Y Proteccion;173072
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Area Salud Escolar;Areas;11079
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Area Salud Comunitaria;Areas;1250
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Area Epidemiología;Areas;14094
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Area Inmunizaciones;Areas;6013
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Areas;Areas;32436
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cobertura Porteña ;a;2672
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cobertura Porteña ;a;1191
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cobertura Porteña ;a;1037
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Cobertura Porteña;a;4900
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cesac N° 17;Centros De Salud;7940
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cesac N° 21;Centros De Salud;16832
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cesac N° 25;Centros De Salud;9775
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Cesac N° 26;Centros De Salud;6689
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Subtotal Centros De Salud;Centros De Salud;41236
HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;2011;Total Hospital;Centros De Salud;945181
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Clínica Médica;Medicina;6728
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Clínica Médica ;Medicina;10309
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cardiología;Medicina;10209
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cardiología ;Medicina;1160
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Dermatología;Medicina;8982
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Dermatología ;Medicina;2453
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Tisiología;Medicina;4551
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Tisiología ;Medicina;2367
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Reumatología ;Medicina;6894
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Endocrinología Y Nutrición ;Medicina;246
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Endocrinología;Medicina;4529
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Nutrición;Medicina;5374
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Nutrición ;Medicina;1117
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Hematología ;Medicina;11209
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Hematología ;Medicina;2220
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Gastroenterología ;Medicina;4777
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Gastroenterología ;Medicina;1597
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Neurología ;Medicina;3159
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Neurología ;Medicina;187
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Alergia ;Medicina;2334
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Alergia ;Medicina;614
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Oncología ;Medicina;3199
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Nefrología ;Medicina;1711
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Infectología ;Medicina;402
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Infectología ;Medicina;6763
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Geriatría ;Medicina;1173
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Geriatría ;Medicina;82
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesación Tabáquica;Medicina;1010
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Nefrología ;Medicina;241
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cuidados Paliativos;Medicina;75
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Medicina;Medicina;105672
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cirugía General;Cirugia;4014
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cirugía General ;Cirugia;1754
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Urología;Cirugia;3111
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Urología ;Cirugia;767
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Otorrinolaringología;Cirugia;5200
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Otorrinolaringología ;Cirugia;340
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Oftalmología;Cirugia;6683
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Oftalmología ;Cirugia;88
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Ortopedia Y Traumatología;Cirugia;6543
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Ortopedia Y Traumatología ;Cirugia;3154
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Traumatología Manos ;Cirugia;1363
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Traumatología Manos ;Cirugia;311
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Flebología ;Cirugia;836
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Neurocirugía ;Cirugia;1593
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Cirugia;Cirugia;35757
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Pediatría;Pediatria;19053
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Pediatría ;Pediatria;22726
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Puericultura ;Pediatria;2807
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Adolescencia ;Pediatria;2820
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Adolescencia ;Pediatria;1132
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Pediatria;Pediatria;48538
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Tocoginecología;Tocoginecologia;15181
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Tocoginecología ;Tocoginecologia;9986
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Patología Mamaria ;Tocoginecologia;1719
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Patología Cervical ;Tocoginecologia;4009
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Patología Cervical ;Tocoginecologia;2999
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Tocoginecologia;Tocoginecologia;33894
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Guardia Del Día;Urgencia;79977
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Urgencia;Urgencia;79977
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Promoción Y Protección;Promocion Y Proteccion;11480
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Promocion Y Proteccion;Promocion Y Proteccion;11480
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Area Salud Escolar;Areas;8105
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Area Salud Comunitaria;Areas;350
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Area Epidemiología;Areas;316
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Area Inmunizaciones;Areas;178
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Areas;Areas;8949
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cobertura Porteña ;a;10460
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cobertura Porteña ;a;5733
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cobertura Porteña ;a;4099
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Cobertura Porteña;a;20292
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesac N° 10;Centros De Salud;12303
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesac N° 16;Centros De Salud;9487
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesac N° 1;Centros De Salud;10488
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesac N° 32;Centros De Salud;6810
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesac N° 30;Centros De Salud;11662
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesac N° 8;Centros De Salud;12701
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesac N° 35;Centros De Salud;17737
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Cesac N° 39;Centros De Salud;13601
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Subtotal Centros De Salud;Centros De Salud;94789
HOSPITAL GENERAL DE AGUDOS J. A. PENNA;2011;Total Hospital;Centros De Salud;439348
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Clínica Médica;Medicina;15487
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Clínica Médica ;Medicina;7650
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cardiología;Medicina;20327
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Dermatología;Medicina;12183
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Gastroenterología;Medicina;6296
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Neurología;Medicina;9042
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Tisiología;Medicina;5610
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Reumatología;Medicina;4514
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Geriatría;Medicina;4675
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Alergia E Inmunología ;Medicina;4069
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Oncología ;Medicina;7152
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesación Tabáquica;Medicina;366
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Medicina;Medicina;97371
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cirugía General;Cirugia;7265
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cirugía General ;Cirugia;1062
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Mastología ;Cirugia;6196
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Urología;Cirugia;3916
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Ortopedia Y Traumatología;Cirugia;6883
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Ortopedia Y Traumatología ;Cirugia;4134
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Oftalmología;Cirugia;11292
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Otorrinolaringología;Cirugia;10359
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Ginecología;Cirugia;22511
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Cirugia;Cirugia;73618
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Pediatría;Pediatria;19888
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Pediatría ;Pediatria;17523
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Adolescencia ;Pediatria;4701
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Pediatria;Pediatria;42112
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Obstetricia;Tocoginecologia;7370
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Obstetricia ;Tocoginecologia;2974
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Tocoginecologia;Tocoginecologia;10344
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Guardia Del Día;Urgencia;138723
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Urgencia;Urgencia;138723
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Promoción Y Protección;Promocion Y Proteccion;12286
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;S.i.d.a. ;Promocion Y Proteccion;11349
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Promocion Y Proteccion;Promocion Y Proteccion;23635
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Area Salud Escolar;Areas;22672
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Areas;Areas;22672
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cobertura Porteña ;a;9502
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cobertura Porteña ;a;6046
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cobertura Porteña ;a;3315
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Cobertura Porteña;a;18863
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N°;Centros De Salud;14275
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N° 18;Centros De Salud;14923
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N° 19;Centros De Salud;14135
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N° 24;Centros De Salud;16697
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N° 13;Centros De Salud;10061
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N° 20;Centros De Salud;13969
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N° 6;Centros De Salud;27337
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N° 31;Centros De Salud;11787
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Cesac N° 40;Centros De Salud;16862
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Subtotal Centros De Salud;Centros De Salud;140046
HOSPITAL GENERAL DE AGUDOS P. PIÑERO;2011;Total Hospital;Centros De Salud;567384
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Clínica Médica;Medicina;21771
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Clínica Médica ;Medicina;11073
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Alergia;Medicina;2883
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Cardiología;Medicina;22816
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Dermatología;Medicina;10878
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Reumatología;Medicina;1250
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Neurología;Medicina;6299
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Gastroenterología;Medicina;3804
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Endocrinología;Medicina;11222
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Tisiología;Medicina;1287
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Tisiologia ;Medicina;723
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Oncología;Medicina;21283
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Subtotal Medicina;Medicina;115289
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Cirugía General;Cirugia;5441
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Cirugía General ;Cirugia;3784
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Cirugía Esofágica;Cirugia;259
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Ginecología;Cirugia;14777
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Ginecología ;Cirugia;11832
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Cirugía Plástica;Cirugia;1790
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Cirugía Plástica ;Cirugia;125
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Urología;Cirugia;4530
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Ortopedia Y Traumatología;Cirugia;4739
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Ortopedia Y Traumatología ;Cirugia;4420
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Oftalmología;Cirugia;11570
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Otorrinolaringología;Cirugia;9674
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Neurocirugía;Cirugia;2520
HOSPITAL GENERAL DE AGUDOS DR I. PIROVANO;2011;Neurocirugía ;Cirugia;249
