SERVICIO;ESPECIALIDADES;ING;PASES_A;ING_PASES;ALTAS;DEF;TOTAL;PASES_B;EGR_PASES;DIAS_CAMAS_DISP;PAC_DIA;PROMEDIO_CAMAS_DISP;PROMEDIO_PAC_DIA;PORCENTAJE_OCUP;PROMEDIO_PERM;GIRO;TASA_MORT_HOSP;ANIO;SK_ID_EFECTOR;NOM_EFECTOR_BADATA;OBSERVACIONES
Medicina;Clínica Médica;1331;360;1691;1280;219;1499;191;1690;23442;20633;6405;5637;8802;1221;2639;1296;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Medicina;Unidad Coronaria;242;50;292;110;12;122;170;292;2196;1946;6;532;8862;666;4867;411;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Medicina;Subtotal Medicina;1573;551;2124;1510;231;1741;383;2124;27834;23543;7605;6433;8458;1108;2793;1088;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Cirugia;Cirugía General;1485;161;1646;1434;59;1493;164;1657;21907;14776;5986;4037;6745;892;2768;356;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Cirugia;Ginecología;884;81;965;778;8;786;179;965;7253;4550;1982;1243;6273;472;487;83;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Cirugia;Neurocirugía;269;106;375;268;9;277;100;377;6727;4191;1838;1145;623;1112;2051;239;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Cirugia;Oftalmología;109;5;114;91;1;92;20;112;2479;665;677;182;2683;594;1654;89;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Cirugia;Ortopedia Y Traumatología;644;119;763;621;16;637;131;768;18496;11135;5054;3042;602;145;152;208;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Cirugia;Otorrinolaringología;178;13;191;153;2;155;36;191;3214;1085;878;296;3376;568;2175;105;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Cirugia;Urología;328;81;409;370;5;375;35;410;4352;2558;1189;699;5878;624;3448;122;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Cirugia;Subtotal Cirugia;3897;566;4463;3715;100;3815;665;4480;64428;38960;17603;10645;6047;87;2545;223;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Pediatria;Recien Nacido Sano;1105;0;1105;953;0;953;150;1103;11689;3615;3194;988;3093;328;3454;0;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Pediatria;Neonatología;162;155;317;301;12;313;2;315;3415;2608;933;713;7637;828;3376;381;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Pediatria;Pediatría;1048;2;1050;1045;0;1045;5;1050;10710;3902;2926;1066;3643;372;3588;0;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Pediatria;Subtotal Pediatria;2315;157;2472;2299;12;2311;157;2468;25814;10125;7053;2766;3922;41;3499;49;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Tocoginecologia;Obstetricia;1827;7;1834;1800;0;1800;34;1834;11689;6750;3194;1844;5775;368;5743;0;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Tocoginecologia;Subtotal Tocoginecologia;1827;7;1834;1800;0;1800;34;1834;11689;6750;3194;1844;5775;368;5743;0;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Urgencia;Terapia Intermedia;25;158;183;21;17;38;144;182;1415;1174;387;321;8297;645;4708;934;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Urgencia;Terapia Intensiva;142;231;373;5;81;86;287;373;2928;2801;8;765;9566;751;4663;2172;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Urgencia;Subtotal Urgencia;167;389;556;26;98;124;431;555;4343;3975;1187;1086;9153;716;4677;1766;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Urgencia;Total Hospital;9779;1670;11449;9350;441;9791;1670;11461;134108;83353;36642;22774;6215;851;2672;45;2012;2125;HOSPITAL GENERAL DE AGUDOS DR. I. PIROVANO;
Medicina;Cardiología;209;311;520;415;4;419;98;517;6200;3238;1694;885;5223;626;3052;77;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Clínica Médica;635;994;1629;1272;124;1396;230;1626;34547;29945;9439;8182;8668;1842;1723;763;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Dermatología;100;26;126;108;3;111;12;123;3562;2673;973;73;7504;2173;1264;244;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Stroke ;1;0;1;1;0;1;1;2;1036;296;283;81;2857;148;71;0;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Hematología;212;25;237;215;13;228;13;241;4563;3114;1247;851;6824;1292;1933;539;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Neurología;339;139;478;429;7;436;50;486;5410;4624;1478;1263;8547;951;3288;144;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Tisiología;95;76;171;139;9;148;21;169;4940;2947;135;805;5966;1744;1252;533;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Unidad Coronaria;333;148;481;150;31;181;304;485;2593;2054;708;561;7921;424;6846;639;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Subtotal Medicina;1924;1719;3643;2729;191;2920;729;3649;62851;48891;17172;13358;7779;134;2125;523;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Cirugia;Cirugía General;938;897;1835;1640;11;1651;180;1831;19927;14823;5445;405;7439;81;3363;6;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Cirugia;Cirugía Plástica Y Reparadora - niÃ±os;420;45;465;421;0;421;43;464;4388;1496;1199;409;3409;322;387;0;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Cirugia;Ginecología;421;43;464;433;5;438;26;464;6042;4311;1651;1178;7135;929;2811;108;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Cirugia;Oftalmología;140;4;144;143;0;143;1;144;766;175;209;48;2285;122;688;0;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Cirugia;Ortopedia Y Traumatología;321;92;413;361;7;368;31;399;10203;7719;2788;2109;7565;1935;1431;175;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Cirugia;Otorrinolaringología;264;37;301;278;2;280;21;301;2397;1300;655;355;5423;432;4596;66;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Cirugia;Urología;281;64;345;299;3;302;34;336;7320;4976;20;136;6798;1481;168;89;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Cirugia;Subtotal Cirugia;2785;1182;3967;3575;28;3603;336;3939;51043;34800;13946;9508;6818;883;2824;71;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Pediatria;Recien Nacido Sano;2782;0;2782;1422;0;1422;50;1472;5781;4236;158;1157;7327;288;9319;0;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Pediatria;Neonatología;222;51;273;254;9;263;3;266;4625;3500;1264;956;7568;1316;2105;338;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Pediatria;Pediatría;578;13;591;587;0;587;3;590;5584;3123;1526;853;5593;529;3867;0;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Pediatria;Subtotal Pediatria;3582;64;3646;2263;9;2272;56;2328;15990;10859;4369;2967;6791;466;5329;39;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Tocoginecologia;Obstetricia;2210;12;2222;2204;0;2204;14;2218;9528;7902;2603;2159;8293;356;852;0;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Tocoginecologia;Subtotal Tocoginecologia;2210;12;2222;2204;0;2204;14;2218;9528;7902;2603;2159;8293;356;852;0;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Urgencia;Guardia Del Día;2906;120;3026;773;225;998;2031;3029;5461;5437;1492;1486;9956;179;20301;743;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Urgencia;Terapia Intensiva;16;308;324;5;81;86;239;325;3774;3286;1031;898;8707;1011;3152;2492;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Urgencia;Subtotal Urgencia;2922;428;3350;778;306;1084;2270;3354;9235;8723;2523;2383;9446;26;13293;912;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Urgencia;Total Hospital;13423;3405;16828;11549;534;12083;3405;15488;148647;111175;40614;30376;7479;92;2975;442;2012;2162;HOSPITAL GENERAL DE AGUDOS J. M. RAMOS MEJIA;
Medicina;Cardiología;38;151;189;164;0;164;26;190;2928;907;8;248;3098;477;2375;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Medicina;Clínica Médica;651;122;773;611;54;665;100;765;17243;12065;4711;3296;6997;1577;1624;706;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Medicina;Endocrinología;1;0;1;1;0;1;0;1;10;10;3;3;100;10;366;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Medicina;Nutrición;62;8;70;69;0;69;3;72;4127;1328;1128;363;3218;1844;639;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Medicina;Curieterapia;99;1;100;98;0;98;2;100;319;308;87;84;9655;308;11473;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Medicina;Unidad Coronaria;170;54;224;42;11;53;170;223;2072;1246;566;34;6014;559;3939;493;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Medicina;Subtotal Medicina;1021;336;1357;985;65;1050;301;1351;26699;15864;7295;4334;5942;1174;1852;481;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Cirugia;Cirugía General;780;56;836;767;5;772;61;833;11576;3822;3163;1044;3302;459;2634;6;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Cirugia;Cirugía Cardiovascular;36;17;53;37;0;37;16;53;1815;175;496;48;964;33;1069;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Cirugia;Ginecología;410;8;418;409;1;410;10;420;3568;1466;975;401;4109;349;4308;24;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Cirugia;Neurocirugía;89;30;119;92;1;93;26;119;1826;639;499;175;3499;537;2385;84;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Cirugia;Ortopedia Y Traumatología;216;7;223;211;2;213;14;227;4413;2171;1206;593;492;956;1883;88;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Cirugia;Otorrinolaringología;94;4;98;97;0;97;1;98;233;197;64;54;8455;201;15394;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Cirugia;Urología;217;17;234;212;3;215;19;234;4393;1041;12;284;237;445;195;128;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Cirugia;Subtotal Cirugia;1842;139;1981;1825;12;1837;147;1984;27824;9511;7602;2599;3418;479;261;6;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Pediatria;Recien Nacido Sano;786;178;964;909;0;909;54;963;3390;3390;926;926;100;352;10397;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Pediatria;Neonatología;284;55;339;137;15;152;190;342;6885;3728;1881;1019;5415;109;1818;439;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Pediatria;Pediatría;667;13;680;676;1;677;2;679;5901;2630;1612;719;4457;387;4211;15;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Pediatria;Subtotal Pediatria;1737;246;1983;1722;16;1738;246;1984;16176;9748;442;2663;6026;491;4489;81;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Tocoginecologia;Obstetricia;1433;10;1443;1432;0;1432;9;1441;9586;7809;2619;2134;8146;542;5502;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Tocoginecologia;Subtotal Tocoginecologia;1433;10;1443;1432;0;1432;9;1441;9586;7809;2619;2134;8146;542;5502;0;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Urgencia;Coordinacion Cuidados Intensivos;100;154;254;10;61;71;182;253;2933;2162;801;591;7371;855;3157;2411;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Urgencia;Subtotal Urgencia;100;154;254;10;61;71;182;253;2933;2162;801;591;7371;855;3157;2411;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Urgencia;Total Hospital;6133;885;7018;5974;154;6128;885;7013;83218;45094;22737;12321;5419;736;2695;251;2012;2119;HOSPITAL GENERAL DE AGUDOS B. RIVADAVIA;
Medicina;Cardiología;147;241;388;306;2;308;76;384;3052;1908;834;521;6252;497;4605;52;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Medicina;Clínica Médica;1019;327;1346;972;224;1196;149;1345;21208;20332;5795;5555;9587;1512;2321;1665;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Medicina;Unidad Coronaria;468;153;621;243;58;301;323;624;2923;1959;799;535;6702;314;7813;929;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Medicina;Subtotal Medicina;1634;721;2355;1521;284;1805;548;2353;27183;24199;7427;6612;8902;1028;3168;1207;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Cirugía General;1175;162;1337;1264;9;1273;73;1346;8639;8073;236;2206;9345;6;5702;67;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Cirugía Cardiovascular;12;2;14;14;0;14;0;14;37;34;1;9;9189;243;13849;0;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Microcirugia Y Cirugia Reparadora;343;3;346;342;1;343;3;346;980;970;268;265;9898;28;12922;29;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Ginecología;629;31;660;647;3;650;11;661;2978;2610;814;713;8764;395;8124;45;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Neurocirugía;151;32;183;152;6;158;30;188;3894;3376;1064;922;867;1796;1767;319;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Oftalmología;3;0;3;3;0;3;0;3;3;0;1;1;100;1;366;0;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Ortopedia Y Traumatología;548;42;590;554;16;570;17;587;7651;7595;209;2075;9927;1294;2808;273;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Otorrinolaringología;30;2;32;30;0;30;2;32;120;120;33;33;100;375;976;0;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Urología;341;17;358;351;2;353;6;359;1767;1740;483;475;9847;485;7436;56;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Cirugia;Subtotal Cirugia;3232;291;3523;3357;37;3394;142;3536;26069;24521;7123;67;9406;693;4964;105;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Pediatria;Recien Nacido Sano;3648;232;3880;3849;0;3849;37;3886;21960;15282;60;4175;6959;393;6477;0;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Pediatria;Neonatología;465;183;648;248;33;281;361;642;10670;6207;2915;1696;5817;967;2202;514;2012;2121;HOSPITAL GENERAL DE AGUDOS DONACION F. SANTOJANNI;
Tocoginecologia;Obstetricia;2087;14;2101;2055;0;2055;46;2101;9108;6291;2495;1724;6907;299;842;0;2013;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Tocoginecologia;Subtotal Tocoginecologia;2087;14;2101;2055;0;2055;46;2101;9108;6291;2495;1724;6907;299;842;0;2013;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Urgencia;Guardia Del Día;2073;14;2087;447;75;522;1564;2086;2473;1291;678;354;522;62;30788;36;2013;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Urgencia;Terapia Intensiva;18;241;259;25;83;108;151;259;2936;2256;804;618;7684;871;322;3205;2013;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Urgencia;Subtotal Urgencia;2091;255;2346;472;158;630;1715;2345;5409;3547;1482;972;6558;151;15824;674;2013;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Urgencia;Total Hospital;8397;2765;11162;8054;328;8382;2765;11147;79944;55948;21902;15328;6998;667;3827;391;2013;2126;HOSPITAL GENERAL DE AGUDOS DR. T. ALVAREZ;
Medicina;Cardiología Intervencionista;259;0;259;259;0;259;0;259;482;232;132;64;4813;9;19613;0;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Cardiología;239;352;591;499;11;510;74;584;8426;5821;2308;1595;6908;997;253;188;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Clínica Médica;380;373;753;548;46;594;160;754;12410;10610;34;2907;855;1407;2218;61;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Unidad Coronaria;323;131;454;53;52;105;347;452;2920;2373;8;65;8127;525;565;115;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Subtotal Medicina;1201;856;2057;1359;109;1468;581;2049;24238;19036;6641;5215;7854;929;3086;532;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Cirugía General;2796;164;2960;2802;28;2830;127;2957;20075;17460;55;4784;8697;59;5376;95;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Cirugía Cardiovascular;206;70;276;193;6;199;75;274;5840;3743;16;1025;6409;1366;1713;219;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Ginecología;332;20;352;339;3;342;10;352;4745;4481;13;1228;9444;1273;2708;85;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Neurocirugía;200;108;308;243;7;250;59;309;8517;6725;2333;1842;7896;2176;1324;227;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Ortopedia Y Traumatología;447;34;481;467;9;476;15;491;8030;5865;22;1607;7304;1195;2232;183;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Urología;288;24;312;291;1;292;21;313;4133;3071;1132;841;743;981;2764;32;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Trasplante Renal;419;55;474;423;9;432;42;474;7671;4879;2102;1337;636;1029;2255;19;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Cirugia;Subtotal Cirugia;4688;475;5163;4758;63;4821;349;5170;59011;46224;16167;12664;7833;894;3198;122;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Recien Nacido Sano;2400;206;2606;2010;0;2010;597;2607;13505;5716;37;1566;4233;219;7046;0;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Neonatología;110;598;708;478;28;506;212;718;9855;6425;27;176;652;895;2659;39;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Pediatría;499;16;515;513;0;513;3;516;6570;3223;18;883;4906;625;2867;0;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Pediatria;Subtotal Pediatria;3009;820;3829;3001;28;3029;812;3841;29930;15364;82;4209;5133;4;4684;73;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Tocoginecologia;Obstetricia;2962;17;2979;2961;1;2962;21;2983;13517;10495;3703;2875;7764;352;8055;3;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Tocoginecologia;Subtotal Tocoginecologia;2962;17;2979;2961;1;2962;21;2983;13517;10495;3703;2875;7764;352;8055;3;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Urgencia;Guardia Del Día;1277;12;1289;748;147;895;391;1286;7299;7299;20;20;100;568;6431;1143;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Urgencia;Terapia Intensiva;202;374;576;36;139;175;400;575;5718;4888;1567;1339;8548;85;367;2417;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Urgencia;Subtotal Urgencia;1479;386;1865;784;286;1070;791;1861;13017;12187;3566;3339;9362;655;5218;1537;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Urgencia;Total Hospital;13339;2554;15893;12863;487;13350;2554;15904;139713;103306;38278;28303;7394;774;3488;365;2013;2122;HOSPITAL GENERAL DE AGUDOS DR C. ARGERICH;
Medicina;Cardiología;65;258;323;206;4;210;105;315;8285;3050;227;836;3681;968;1388;127;2013;2123;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;
Medicina;Clínica Médica;723;382;1105;894;90;984;122;1106;19128;14949;5241;4096;7815;1352;211;814;2013;2123;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;
Medicina;Geriatría;176;91;267;187;67;254;9;263;8140;7018;223;1923;8622;2668;1179;2548;2013;2123;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;
Medicina;Unidad Coronaria;293;100;393;108;28;136;261;397;3645;1914;999;524;5251;482;3975;705;2013;2123;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;
Medicina;Subtotal Medicina;1257;831;2088;1395;189;1584;497;2081;39198;26931;10739;7378;6871;1294;1938;908;2013;2123;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;
Cirugia;Cirugía General;685;122;807;683;4;687;115;802;3617;3622;991;992;10014;452;8093;5;2013;2123;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;
Cirugia;Cirugía Cardiovascular;61;64;125;48;7;55;70;125;1454;823;398;225;566;658;3138;56;2013;2123;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;
Cirugia;Cirugía Plástica Y Reparadora - niÃ±os;45;2;47;44;0;44;2;46;92;95;25;26;10326;207;1825;0;2013;2123;HOSPITAL GENERAL DE AGUDOS DR. C. DURAND;
Urgencia;Terapia Intermedia;62;314;376;35;20;55;320;375;4392;3892;1203;1066;8862;1038;3116;533;2013;2127;HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;
Urgencia;Toxicología;230;12;242;229;1;230;9;239;2928;1533;802;42;5236;641;2979;42;2013;2127;HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;
Urgencia;Terapia Intensiva;209;273;482;5;102;107;370;477;6556;5348;1796;1465;8157;1121;2656;2138;2013;2127;HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;
Urgencia;Subtotal Urgencia;501;599;1100;269;123;392;699;1091;13876;10773;3802;2952;7764;987;287;1127;2013;2127;HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;
Urgencia;Total Hospital;9659;2325;11984;9221;398;9619;2325;11944;132678;102096;3635;27972;7695;1061;2646;414;2013;2127;HOSPITAL GENERAL DE AGUDOS DR. J. A. FERNANDEZ;
Medicina;Clínica Médica;13;544;557;415;80;495;56;551;17576;16511;4815;4524;9394;2997;1144;1452;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Medicina;Subtotal Medicina;13;544;557;415;80;495;56;551;17576;16511;4815;4524;9394;2997;1144;1452;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Cirugia;Cirugía General;903;482;1385;1308;9;1317;75;1392;12527;7436;3432;2037;5936;534;4056;65;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Cirugia;Ortopedia Y Traumatología;38;304;342;324;2;326;15;341;6370;5705;1745;1563;8956;1673;1954;59;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Cirugia;Urología;235;77;312;302;2;304;7;311;2289;1883;627;516;8226;605;4959;64;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Cirugia;Subtotal Cirugia;1176;863;2039;1934;13;1947;97;2044;21186;15024;5804;4116;7091;735;3521;64;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Pediatria;Recien Nacido Sano;3009;509;3518;3275;0;3275;245;3520;17672;13329;4842;3652;7542;379;727;0;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Pediatria;Neonatología;713;216;929;398;36;434;483;917;8529;6804;2337;1864;7977;742;3924;393;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Pediatria;Pediatría;895;8;903;901;1;902;0;902;7066;4245;1936;1163;6008;471;4659;11;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Pediatria;Subtotal Pediatria;4617;733;5350;4574;37;4611;728;5339;33267;24378;9114;6679;7328;457;5858;69;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Tocoginecologia;Tocoginecología;5736;258;5994;5727;4;5731;255;5986;25472;23325;6979;639;9157;39;8578;7;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Tocoginecologia;Subtotal Tocoginecologia;5736;258;5994;5727;4;5731;255;5986;25472;23325;6979;639;9157;39;8578;7;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Urgencia;Terapia Intermedia;0;167;167;19;9;28;138;166;932;782;255;214;8391;471;6501;542;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Urgencia;Guardia Del Día;2910;1;2911;1370;174;1544;1363;2907;8488;8488;2325;2325;100;292;12501;599;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Urgencia;Terapia Intensiva;5;258;263;10;68;78;186;264;2548;2392;698;655;9388;906;3782;2576;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Urgencia;Subtotal Urgencia;2915;426;3341;1399;251;1650;1687;3337;11968;11662;3279;3195;9744;349;10177;752;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
Urgencia;Total Hospital;14457;2824;17281;14049;385;14434;2823;17257;109469;90900;29992;24904;8304;63;4813;267;2013;2161;HOSPITAL GENERAL DE AGUDOS J. A. PENNA;
